CustomerID,num_orders,total_revenue,total_items,first_purchase,last_purchase,recency,frequency,monetary,R_score,F_score,M_score,RFM_score
12465,2,742.1899999999999,479,2011-06-23 13:37:00,2011-11-22 16:34:00,17,2,742.1899999999999,4,2,3,423
12468,2,729.5400000000001,366,2011-01-27 13:29:00,2011-06-05 11:36:00,188,2,729.5400000000001,1,2,3,123
12471,30,19788.65,8200,2010-12-10 09:35:00,2011-12-07 15:43:00,2,30,19788.65,5,5,5,555
12472,7,6572.11,4148,2010-12-05 14:19:00,2011-11-07 14:01:00,32,7,6572.11,4,5,5,455
12473,5,3928.0499999999997,2414,2011-06-01 10:15:00,2011-11-10 13:46:00,29,5,3928.0499999999997,4,4,5,445
12474,18,7324.09,4833,2011-01-14 10:06:00,2011-11-22 14:39:00,17,18,7324.09,4,5,5,455
12475,1,723.38,535,2011-10-17 10:10:00,2011-10-17 10:10:00,54,1,723.38,3,1,3,313
12476,11,6816.42,2408,2010-12-13 14:39:00,2011-11-24 12:40:00,16,11,6816.42,4,5,5,455
12477,6,13219.74,3653,2011-02-11 12:45:00,2011-11-17 09:51:00,23,6,13219.74,4,4,5,445
12478,1,680.99,236,2011-12-06 09:56:00,2011-12-06 09:56:00,4,1,680.99,5,1,3,513
12479,1,527.2,385,2011-11-28 13:26:00,2011-11-28 13:26:00,11,1,527.2,5,1,3,513
12480,4,3281.63,1707,2011-01-07 15:27:00,2011-11-11 14:52:00,28,4,3281.63,4,4,5,445
12481,10,5579.82,3294,2010-12-09 10:13:00,2011-11-17 08:29:00,23,10,5579.82,4,5,5,455
12483,8,2484.98,1110,2011-01-04 14:20:00,2011-11-22 17:02:00,17,8,2484.98,4,5,5,455
12484,6,4527.32,2187,2011-01-07 14:04:00,2011-11-07 11:37:00,33,6,4527.32,4,4,5,445
12488,3,1298.66,529,2011-09-25 10:34:00,2011-11-30 08:50:00,10,3,1298.66,5,3,4,534
12489,1,334.93,105,2011-01-07 13:13:00,2011-01-07 13:13:00,336,1,334.93,1,1,2,112
12490,10,5417.93,3064,2011-01-14 09:13:00,2011-12-04 16:07:00,5,10,5417.93,5,5,5,555
12491,1,460.40000000000003,260,2011-11-01 12:18:00,2011-11-01 12:18:00,39,1,460.40000000000003,3,1,2,312
12492,2,263.21000000000004,192,2011-08-26 14:51:00,2011-10-07 15:15:00,63,2,263.21000000000004,3,2,2,322
12493,2,433.74,207,2011-05-26 14:53:00,2011-06-27 10:17:00,166,2,433.74,2,2,2,222
12494,7,1246.1000000000001,707,2010-12-09 11:31:00,2011-11-24 09:34:00,16,7,1246.1000000000001,4,5,4,454
12497,1,1043.1,1236,2011-09-19 12:29:00,2011-09-19 12:29:00,82,1,1043.1,2,1,4,214
12498,3,403.70000000000005,159,2011-10-13 09:30:00,2011-11-18 12:53:00,21,3,403.70000000000005,4,3,2,432
12500,11,4257.82,2678,2011-01-10 09:48:00,2011-11-16 16:20:00,23,11,4257.82,4,5,5,455
12501,1,2169.39,1783,2011-01-07 12:28:00,2011-01-07 12:28:00,337,1,2169.39,1,1,5,115
12502,5,3723.87,820,2011-02-03 10:41:00,2011-09-05 11:52:00,96,5,3723.87,2,4,5,245
12504,2,482.04999999999995,90,2011-11-09 14:56:00,2011-11-21 16:02:00,18,2,482.04999999999995,4,2,2,422
12506,1,73.5,23,2011-04-21 08:54:00,2011-04-21 08:54:00,233,1,73.5,1,1,1,111
12507,3,1304.81,894,2011-02-14 09:24:00,2011-07-28 17:09:00,134,3,1304.81,2,3,4,234
12508,2,397.88,271,2011-11-10 16:27:00,2011-11-13 15:37:00,26,2,397.88,4,2,2,422
12509,1,176.5,55,2011-02-28 14:45:00,2011-02-28 14:45:00,284,1,176.5,1,1,1,111
12510,2,982.5699999999999,353,2011-01-18 14:04:00,2011-07-20 10:15:00,143,2,982.5699999999999,2,2,4,224
12512,2,132.18,96,2011-10-04 14:53:00,2011-10-04 14:55:00,66,2,132.18,3,2,1,321
12513,1,612.29,462,2011-08-19 10:51:00,2011-08-19 10:51:00,113,1,612.29,2,1,3,213
12514,1,1017.68,440,2011-03-17 16:38:00,2011-03-17 16:38:00,267,1,1017.68,1,1,4,114
12515,1,383.7,131,2010-12-21 15:43:00,2010-12-21 15:43:00,353,1,383.7,1,1,2,112
12516,2,1312.06,875,2011-06-12 11:37:00,2011-09-23 09:13:00,78,2,1312.06,2,2,4,224
12517,5,2481.6,1361,2011-06-02 15:13:00,2011-11-11 14:04:00,28,5,2481.6,4,4,5,445
12518,5,2056.89,1318,2011-08-21 13:18:00,2011-12-09 10:13:00,1,5,2056.89,5,4,5,545
12519,1,330.84,175,2011-10-07 09:26:00,2011-10-07 09:26:00,64,1,330.84,3,1,2,312
12520,5,2634.26,1439,2011-03-11 11:35:00,2011-09-21 15:23:00,79,5,2634.26,2,4,5,245
12521,1,599.68,309,2011-07-20 10:51:00,2011-07-20 10:51:00,143,1,599.68,2,1,3,213
12522,2,192.72,194,2011-10-19 14:41:00,2011-10-31 15:30:00,39,2,192.72,3,2,1,321
12523,11,1789.77,865,2011-01-12 09:43:00,2011-11-20 12:55:00,19,11,1789.77,4,5,4,454
12524,8,4485.72,3699,2011-01-10 10:35:00,2011-11-30 15:31:00,9,8,4485.72,5,5,5,555
12526,3,1316.66,632,2011-09-06 14:19:00,2011-12-09 12:09:00,1,3,1316.66,5,3,4,534
12527,3,348.71000000000004,234,2011-01-18 12:05:00,2011-09-19 11:55:00,82,3,348.71000000000004,2,3,2,232
12528,6,1933.48,756,2011-01-31 09:05:00,2011-11-30 14:40:00,9,6,1933.48,5,5,4,554
12530,4,1662.28,913,2011-01-07 10:04:00,2011-10-11 12:34:00,60,4,1662.28,3,4,4,344
12531,1,125.22,45,2011-11-25 11:12:00,2011-11-25 11:12:00,15,1,125.22,4,1,1,411
12532,1,349.83000000000004,153,2011-11-09 13:47:00,2011-11-09 13:47:00,30,1,349.83000000000004,4,1,2,412
12534,1,1089.18,651,2011-08-01 10:26:00,2011-08-01 10:26:00,131,1,1089.18,2,1,4,214
12535,2,716.35,219,2011-06-06 12:47:00,2011-09-09 08:48:00,92,2,716.35,2,2,3,223
12536,3,12601.830000000002,2803,2011-10-11 14:52:00,2011-10-27 14:20:00,43,3,12601.830000000002,3,3,5,335
12538,1,363.95,191,2011-11-10 17:16:00,2011-11-10 17:16:00,29,1,363.95,4,1,2,412
12539,4,5568.35,2067,2011-01-10 09:11:00,2011-11-17 13:30:00,22,4,5568.35,4,4,5,445
12540,17,13400.24,6685,2010-12-13 09:39:00,2011-11-20 11:31:00,20,17,13400.24,4,5,5,455
12541,3,981.18,680,2011-03-04 09:32:00,2011-11-10 10:40:00,30,3,981.18,4,3,4,434
12544,1,372.7,136,2011-11-03 16:15:00,2011-11-03 16:15:00,36,1,372.7,3,1,2,312
12545,2,1000.39,523,2011-03-25 12:04:00,2011-09-25 13:39:00,75,2,1000.39,2,2,4,224
12546,2,1161.5,633,2011-09-23 09:44:00,2011-10-24 12:09:00,47,2,1161.5,3,2,4,324
12547,2,207.79999999999998,134,2011-03-04 12:46:00,2011-05-26 12:38:00,198,2,207.79999999999998,1,2,1,121
12548,1,95.19999999999999,49,2011-06-26 15:35:00,2011-06-26 15:35:00,166,1,95.19999999999999,2,1,1,211
12550,1,964.83,569,2011-09-21 14:35:00,2011-09-21 14:35:00,79,1,964.83,2,1,4,214
12551,1,168.0,100,2010-12-17 11:23:00,2010-12-17 11:23:00,358,1,168.0,1,1,1,111
12552,2,437.82,88,2011-10-31 12:11:00,2011-11-01 10:02:00,39,2,437.82,3,2,2,322
12553,10,3692.28,1965,2011-01-14 10:42:00,2011-12-01 16:38:00,8,10,3692.28,5,5,5,555
12556,2,599.56,355,2011-07-11 13:35:00,2011-10-20 13:06:00,50,2,599.56,3,2,3,323
12557,5,11990.960000000001,4384,2010-12-03 12:20:00,2011-11-23 16:59:00,16,5,11990.960000000001,4,4,5,445
12558,1,269.96,196,2011-12-02 10:41:00,2011-12-02 10:41:00,8,1,269.96,5,1,2,512
12559,2,561.71,283,2011-01-24 10:12:00,2011-02-02 09:49:00,311,2,561.71,1,2,3,123
12560,3,2134.01,1110,2011-07-19 15:55:00,2011-12-04 13:54:00,5,3,2134.01,5,3,5,535
12561,1,238.85,177,2011-02-10 11:39:00,2011-02-10 11:39:00,303,1,238.85,1,1,1,111
12562,7,3781.7400000000002,1779,2011-05-25 12:44:00,2011-12-01 17:20:00,8,7,3781.7400000000002,5,5,5,555
12564,1,456.9,133,2011-03-23 14:55:00,2011-03-23 14:55:00,261,1,456.9,1,1,2,112
12565,1,145.92,80,2011-02-24 10:34:00,2011-02-24 10:34:00,289,1,145.92,1,1,1,111
12566,1,351.65,265,2011-09-14 14:30:00,2011-09-14 14:30:00,86,1,351.65,2,1,2,212
12567,10,9401.28,4305,2010-12-05 11:57:00,2011-11-17 11:02:00,23,10,9401.28,4,5,5,455
12569,32,4124.69,1801,2011-04-01 13:47:00,2011-12-07 16:24:00,2,32,4124.69,5,5,5,555
12571,2,519.61,523,2011-08-10 12:35:00,2011-10-31 10:19:00,40,2,519.61,3,2,3,323
12572,2,1020.42,452,2011-10-19 08:20:00,2011-12-01 09:20:00,9,2,1020.42,5,2,4,524
12573,1,160.54000000000002,84,2011-04-26 15:52:00,2011-04-26 15:52:00,227,1,160.54000000000002,1,1,1,111
12574,1,218.45,61,2011-01-28 09:20:00,2011-01-28 09:20:00,316,1,218.45,1,1,1,111
12576,5,1315.83,967,2011-02-08 11:31:00,2011-11-04 10:11:00,36,5,1315.83,3,4,4,344
12577,3,626.6,469,2010-12-15 16:21:00,2011-11-04 13:24:00,35,3,626.6,3,3,3,333
12578,2,2794.51,1196,2011-01-13 15:34:00,2011-11-18 13:30:00,21,2,2794.51,4,2,5,425
12579,1,440.42,285,2011-09-22 17:15:00,2011-09-22 17:15:00,78,1,440.42,2,1,2,212
12580,1,415.7,238,2011-04-07 10:24:00,2011-04-07 10:24:00,247,1,415.7,1,1,2,112
12581,1,197.71,161,2011-10-31 08:56:00,2011-10-31 08:56:00,40,1,197.71,3,1,1,311
12582,2,511.36,300,2011-02-24 11:42:00,2011-04-15 08:45:00,239,2,511.36,1,2,3,123
12583,15,7281.38,5060,2010-12-01 08:45:00,2011-12-07 08:07:00,3,15,7281.38,5,5,5,555
12584,9,2338.15,416,2011-03-04 15:15:00,2011-12-06 09:35:00,4,9,2338.15,5,5,5,555
12585,2,2040.1,1279,2010-12-23 12:58:00,2011-04-19 13:39:00,234,2,2040.1,1,2,4,124
12586,1,196.94000000000003,79,2011-11-22 16:24:00,2011-11-22 16:24:00,17,1,196.94000000000003,4,1,1,411
12587,1,144.0,51,2011-12-02 12:47:00,2011-12-02 12:47:00,8,1,144.0,5,1,1,511
12588,1,214.89999999999998,53,2011-10-31 15:01:00,2011-10-31 15:01:00,39,1,214.89999999999998,3,1,1,311
12589,2,646.68,306,2011-07-18 12:05:00,2011-11-11 10:19:00,29,2,646.68,4,2,3,423
12590,2,9864.26,4283,2011-05-12 14:46:00,2011-05-12 14:52:00,211,2,9864.26,1,2,5,125
12591,1,452.84999999999997,228,2011-01-26 14:35:00,2011-01-26 14:35:00,317,1,452.84999999999997,1,1,2,112
12592,2,437.6,290,2011-05-10 13:44:00,2011-09-08 15:04:00,92,2,437.6,2,2,2,222
12593,3,418.09999999999997,206,2011-05-05 09:29:00,2011-08-23 12:43:00,109,3,418.09999999999997,2,3,2,232
12594,10,3338.2200000000003,1777,2011-01-21 09:52:00,2011-11-02 12:20:00,38,10,3338.2200000000003,3,5,5,355
12596,2,618.27,474,2011-04-11 13:22:00,2011-10-19 13:02:00,51,2,618.27,3,2,3,323
12597,4,3811.22,2236,2011-03-16 14:00:00,2011-11-20 13:33:00,19,4,3811.22,4,4,5,445
12598,8,3023.08,1964,2011-02-28 11:58:00,2011-11-30 12:18:00,10,8,3023.08,5,5,5,555
12599,7,1032.58,956,2011-02-08 13:28:00,2011-11-10 13:34:00,29,7,1032.58,4,5,4,454
12600,10,2599.04,774,2010-12-03 12:57:00,2011-11-11 10:29:00,29,10,2599.04,4,5,5,455
12601,5,577.0600000000001,245,2011-01-11 10:38:00,2011-06-03 10:17:00,190,5,577.0600000000001,1,4,3,143
12602,1,153.12,162,2011-10-12 11:22:00,2011-10-12 11:22:00,59,1,153.12,3,1,1,311
12603,1,739.1999999999999,63,2011-11-18 10:42:00,2011-11-18 10:42:00,22,1,739.1999999999999,4,1,3,413
12604,2,254.18,201,2011-03-23 12:06:00,2011-09-21 14:08:00,79,2,254.18,2,2,2,222
12607,1,1579.51,1228,2011-10-10 16:06:00,2011-10-10 16:06:00,60,1,1579.51,3,1,4,314
12609,3,1126.85,648,2011-01-25 15:13:00,2011-09-22 16:34:00,78,3,1126.85,2,3,4,234
12610,5,2099.54,1049,2011-08-05 13:52:00,2011-11-17 09:34:00,23,5,2099.54,4,4,5,445
12611,1,1193.32,846,2011-10-18 13:12:00,2011-10-18 13:12:00,52,1,1193.32,3,1,4,314
12612,1,704.0400000000001,262,2011-09-26 15:35:00,2011-09-26 15:35:00,74,1,704.0400000000001,2,1,3,213
12613,5,3344.38,1644,2011-03-22 15:42:00,2011-10-13 14:59:00,57,5,3344.38,3,4,5,345
12614,1,315.6,76,2011-03-07 10:22:00,2011-03-07 10:22:00,278,1,315.6,1,1,2,112
12615,4,2291.19,1376,2011-06-24 13:35:00,2011-12-07 15:02:00,2,4,2291.19,5,4,5,545
12616,2,713.3,284,2011-02-15 14:17:00,2011-09-05 15:17:00,95,2,713.3,2,2,3,223
12617,1,352.98,210,2011-11-10 14:39:00,2011-11-10 14:39:00,29,1,352.98,4,1,2,412
12618,1,177.31,96,2011-11-18 11:10:00,2011-11-18 11:10:00,22,1,177.31,4,1,1,411
12619,9,3641.24,3378,2011-03-31 13:10:00,2011-11-23 14:52:00,16,9,3641.24,4,5,5,455
12620,3,1339.41,1181,2011-05-19 12:10:00,2011-11-25 10:20:00,15,3,1339.41,4,3,4,434
12621,20,13689.67,7440,2010-12-09 10:16:00,2011-12-08 11:25:00,2,20,13689.67,5,5,5,555
12622,1,180.1,69,2011-04-21 16:39:00,2011-04-21 16:39:00,232,1,180.1,1,1,1,111
12623,1,305.1,191,2011-03-08 13:50:00,2011-03-08 13:50:00,276,1,305.1,1,1,2,112
12624,2,641.13,355,2011-06-15 12:34:00,2011-08-25 15:04:00,106,2,641.13,2,2,3,223
12625,2,2683.82,1612,2011-01-24 13:27:00,2011-05-12 09:54:00,212,2,2683.82,1,2,5,125
12626,9,6620.48,3453,2011-01-17 11:01:00,2011-11-16 16:06:00,23,9,6620.48,4,5,5,455
12627,7,4478.53,2752,2011-07-22 13:59:00,2011-11-29 12:07:00,11,7,4478.53,5,5,5,555
12628,3,786.46,448,2011-10-06 09:28:00,2011-12-05 13:15:00,4,3,786.46,5,3,3,533
12630,2,1270.88,548,2011-10-27 10:41:00,2011-11-30 10:48:00,10,2,1270.88,5,2,4,524
12631,1,640.5,236,2011-10-13 13:53:00,2011-10-13 13:53:00,57,1,640.5,3,1,3,313
12633,4,2163.98,1162,2011-02-25 08:44:00,2011-10-12 11:40:00,59,4,2163.98,3,4,5,345
12635,2,1689.18,1172,2011-07-08 08:43:00,2011-09-11 11:04:00,90,2,1689.18,2,2,4,224
12637,8,6002.9,2994,2011-01-20 10:47:00,2011-10-03 13:46:00,67,8,6002.9,3,5,5,355
12638,1,671.69,577,2011-11-06 13:11:00,2011-11-06 13:11:00,33,1,671.69,4,1,3,413
12639,1,486.1,201,2011-04-15 12:48:00,2011-04-15 12:48:00,239,1,486.1,1,1,2,112
12640,3,1174.58,311,2011-09-19 12:01:00,2011-11-16 11:52:00,24,3,1174.58,4,3,4,434
12641,1,185.9,72,2011-08-16 13:26:00,2011-08-16 13:26:00,115,1,185.9,2,1,1,211
12642,3,1013.26,552,2011-08-24 09:23:00,2011-11-14 15:03:00,25,3,1013.26,4,3,4,434
12643,6,3344.64,1808,2011-01-11 11:48:00,2011-08-03 12:56:00,128,6,3344.64,2,5,5,255
12644,1,477.91,325,2011-08-02 10:33:00,2011-08-02 10:33:00,130,1,477.91,2,1,2,212
12645,4,1775.18,1084,2011-01-27 13:08:00,2011-11-06 12:38:00,34,4,1775.18,3,4,4,344
12646,2,1346.97,897,2011-10-21 12:52:00,2011-12-05 10:14:00,5,2,1346.97,5,2,4,524
12647,12,3722.82,1431,2010-12-05 14:02:00,2011-11-17 12:56:00,22,12,3722.82,4,5,5,455
12648,1,318.05,160,2011-07-08 11:55:00,2011-07-08 11:55:00,155,1,318.05,2,1,2,212
12649,3,623.51,586,2011-05-11 14:37:00,2011-08-24 14:41:00,107,3,623.51,2,3,3,233
12650,1,314.44,254,2011-12-06 16:34:00,2011-12-06 16:34:00,3,1,314.44,5,1,2,512
12651,1,114.0,78,2011-01-09 12:46:00,2011-01-09 12:46:00,335,1,114.0,1,1,1,111
